EventID,EventTypeID,Location,Timestamp,Severity,SourceDeviceID,OperatorNote,Description,InternalNumericCode,MetaGUIDReference,TempFlag,PassCode
1,4,Building B - Server Room,29/11/2025 11:12,Low,2689,,Access attempt failed. <i>User badge not recognized</i>.   Multiple retries observed.               ,842397,e737ee05-4d8e-405a-9ea6-e508939fc023,SYE,RjkaVhTwvd
2,3,Building C - Floor 2 Hallway,30/11/2025 11:50,Critical,2872,,Camera disconnected from VMS   for over <b>10 minutes</b>. Check network connection.          ,911778,1620ed7d-f7df-4772-aa63-0dc0fa171786,SIO,nkLwTVGzyP
3,3,Building C - Lobby,01/12/2025 23:09,High,1124,,Motion detected   in restricted zone. <span>Security notified</span>.         ,714178,17c5ff7f-b8e2-45d7-8747-74ef013fbdf8,XQE,FhCtikwCDB
4,4,Building A - Parking Lot,30/11/2025 12:43,Critical,3284,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.                 ,409070,b29edcfe-762f-4faa-b167-527bd2ac3eff,UYL,SvcgWFUrfH
5,1,Building A - Main Entrance,30/11/2025 4:28,Medium,1705,,Motion detected   in restricted zone. <span>Security notified</span>.               ,830214,227a46a9-72bc-4bac-8d26-f8ef77d466ed,OLB,NLmKErlftM
6,2,Building B - Server Room,29/11/2025 12:37,Medium,2769,,Camera disconnected from VMS   for over <b>10 minutes</b>. Check network connection.        ,375116,5f03bab8-0db0-415f-ab82-05be522f8c7e,MZW,txlhqlalYm
7,1,Building A - Parking Lot,30/11/2025 10:29,Critical,2592,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.              ,129309,6e643442-de83-4c38-8057-e66b617e1d70,FBY,SuyvXcRwFe
8,2,Building C - Floor 2 Hallway,02/12/2025 0:09,Low,1529,,Sensor triggered due to unexpected door movement <br>   System flagged forced entry attempt.                ,652092,2b301440-c39c-4239-b8c5-70e7386467b9,RFJ,LUBAZChptG
9,3,Building A - Main Entrance,01/12/2025 15:50,Low,2611,,Smoke detected near elevator shaft.   <b>Alert raised</b> for fire response team.         ,152453,b2f6a495-4f23-4826-b50c-ae1eca206362,OGE,NbNBRIePvX
10,1,Building A - Parking Lot,02/12/2025 7:03,Low,1452,,Motion detected   in restricted zone. <span>Security notified</span>.                ,345170,3a781ba1-9bed-48ee-b951-a9122ab61926,EVG,vCKiGqOYWJ
